도매소매처코드,소매처코드
152884,6154405
145292,6014803
303020,6022411
309800,6070901
300802,6070901
300713,6070901
300632,6070905
105685,6070905
225461,6196410
441503,6160920
300616,6022394
304560,6163120
305634,6070914
875442,6070914
876689,6070914
115770,6019155
304943,6070735
304951,6070906
305791,6070899
219842,6070899
305987,6070735
454390,6070735
830197,6070735
541284,6070899
304641,6152484
308064,6000992
308897,6070898
307998,6152555
308013,6070900
391867,6107244
305448,6022394
747424,6154038
127642,6022487
301302,6144375
304336,6144374
306924,6144376
936398,6144374
937005,6144374
126658,6154844
157996,6152515
171327,6003706
305400,6022409
309753,6022409
309770,6022409
300021,6070901
300136,6070901
300179,6070901
300691,6070901
300811,6070901
300977,6070901
314200,6070901
305863,6022394
202206,6033130
212023,6033130
183392,6033130
113963,6070901
307629,6070901
306016,6070901
313645,6070901
403741,6160921
303364,6022394
160001,6022394
225931,6070899
322687,6196410
231060,6070735
307564,6070909
300110,6003794
307921,6039190
243514,6033130
239037,6164501
205590,6070901
1001,6041622
1025,6041611
1822,6033130
1238,6019771
1323,6041639
1360,6033130
1007,6041622
1011,6041622
1042,6041607
1061,6157435
1063,6157435
1062,6157435
1066,6157435
1067,6157435
1552,6041608
2002,6041622
2009,6041622
3098,6013253
3554,6000999
3704,6003862
3696,6041620
3798,6041646
3748,6041614
3751,6154020
4001,6041622
4018,6041622
4817,6033130
1085,6152386
3840,6041645
4000,6033130
2900,6033130
4814,6152655
4782,6033130
4091,6041608
4695,6041608
1060,6157435
1076,6157435
1149,6041608
1510,6033130
4886,6041337
4885,6041337
35521,6003728
32423,6003851
3242300001,6003851
204,6003674
34824,6003674
3482499994,6003674
3482400004,6003674
706699990,6014269
707499997,6012903
3545799990,6003701
4054599992,6056721
32943,6003685
38440,6003711
40325,6152562
7066,6014269
7074,6012903
40918,6154848
7594,6003766
35457,6003701
33179,6003889
34132,6000885
40545,6056721
3843299990,6000898
38432,6000898
33156,6017840
40703,6136667
31883,6022469
34039,6003778
34831,6070903
40973,6152459
37274,6047584
32693,6140789
36506,6041251
36450,6013894
39478,6018314
441,6003788
7930,6003904
8344,6022884
35004,6000829
35022,6016298
38632,6021730
36366,6014315
33599,6021767
34873,6003901
33827,6033130
38702,6162310
2512,6152585
2665,6003823
356,6003788
39687,6125646
38542,6003911
32888,6000522
115,6152610
201,6003675
2957,6000104
38604,6003672
39690,6049329
40877,6156462
33331,6140420
40246,6140420
38377,6003869
39760,6018489
3084,6003745
40543,6000204
33681,6003827
38183,6003825
7324,6126019
37168,6001144
36359,6001087
7418,6001032
3437999990,6001050
372,6003790
39938,6160923
681299990,6003848
6812,6003848
694599990,6152472
6945,6152472
3856499993,6022423
38564,6022423
3856499990,6022423
203,6003675
6865,6019770
37747,6126019
6867,6000876
6990,6003790
35279,6003964
3527999990,6003964
371,6003788
37413,6017823
35483,6000816
3548399993,6000816
6851,6154056
39623,6160923
40694,6161819
39561,6000766
38196,6152615
33226,6003720
30251,6003872
3025199994,6003872
3856299990,6152667
38562,6152667
32835,6035540
39842,6035540
40463,6013510
6982,6003845
35836,6019570
37979,6124669
3797999990,6124669
3666699990,6000808
36666,6000808
20038,6136666
30545,6003847
200,6003675
30939,6003895
30634,6003872
39698,6013303
33437,6152587
34643,6019040
20199990,6003675
3561799990,6003671
3727599990,6025945
35673,6049800
3567399990,6049800
3242399990,6003851
37275,6025945
30701,6003670
32773,6003670
3277399990,6003670
3190399990,6017839
401,6003819
10201,6017186
31842,6055639
38279,6032101
33581,6001027
35442,6000280
3805,6055638
10207,6003675
37330,6003678
32714,6022476
38378,6017186
38379,6003878
3837900120,6003878
34084,6003807
37601,6144377
3521,6003771
40820,6152025
40926,6152631
3733000240,6003678
3860401240,6003672
3860401290,6003672
2752,6003915
2830,6003857
40748,6155266
20199997,6003675
278599990,6021811
864599990,6003906
32745,6017186
37452,6055639
40758,6152389
8657,6003780
37727,6152697
34582,6003924
8645,6003906
33889,6003866
3391799990,6003905
3345699990,6003753
4075899990,6152389
35297,6003759
3257,6003719
40644,6047585
34974,6160627
361,6140420
39081,6140420
40807,6152387
37393,6016541
9266,6003779
30334,6003730
40136,6140420
40912,6152521
36379,6140420
35678,6033130
35718,6003762
1579,6001013
30965,6003726
37352,6003682
1527,6000965
40081,6041252
32296,6001129
140,6003714
1624,6003776
40409,6014147
354,6003889
40683,6125644
5551,6000578
5482,6070310
34611,6001034
38304,6012911
38652,6140422
35250,6000988
38612,6140002
38582,6160913
34350,6019404
4531,6003794
35826,6000604
40159,6014587
4525,6019575
38451,6014876
5025,6003713
33989,6000916
31992,6019580
30064,6003702
33962,6000994
40122,6047974
33995,6001191
40711,6001191
4012299990,6047974
39095,6022766
33443,6021088
5022,6020847
3358500952,6016412
33178,6003684
33585,6016412
34634,6034786
37912,6014714
35340,6019582
38174,6003684
37392,6000946
32680,6021971
40082,6017840
40910,6033130
39637,6153969
34960,6014848
32797,6000576
34065,6000596
6084,6001004
6516,6003772
6598,6003782
37297,6022497
34963,6143774
6786,6003872
34070,6164634
3407099990,6164634
33955,6000789
6259,6003808
39594,6120733
39745,6156695
33890,6003894
35323,6003799
33635,6003669
40262,6032104
40689,6033130
39820,6020520
319,6160922
40590,6065842
4133,6039190
34390,6154835
34391,6154836
30327,6019581
38059,6000842
38383,6003884
39949,6127229
39950,6154019
39959,6152438
3298999990,6070735
39661,6125208
32579,6003792
36394,6003786
33126,6003727
33609,6003746
34729,6003743
37845,6003854
3544299992,6000280
38350,6003675
40199,6033130
3860401310,6003672
3860401470,6003672
39479,6019404
4016999990,6016267
34789,6000838
41171,6035540
38417,6000765
3860401360,6003672
20199991,6003675
41194,6140422
41028,6033130
3860401420,6003672
3860401490,6003672
3860401250,6003672
34565,6033130
34450,6000614
2785,6021811
5037,6164634
242,6003774
33917,6003905
237,6014713
722499990,6143172
3190399998,6017839
3389099990,6003894
35617,6003671
3635999990,6001087
3741399995,6017823
3805999990,6000842
3860401440,6003672
3860401460,6003672
3860401540,6003672
36782,6000900
34736,6013806
3860401320,6003672
3860401270,6003672
3544299995,6000280
37974,6033130
40965,6033130
3860401230,6003672
3860401340,6003672
4348,6152415
34674,6001078
3478999990,6000838
41235,6016517
4091299990,6152521
37358,6164652
1020702920,6003675
3253600004,6003790
3805999997,6000842
40907,6033130
40231,6001191
40218,6001191
40430,6001191
33453,6000993
2266,6033130
699000003,6003790
41176,6033130
3358599990,6016412
3358599992,6016412
40230,6001191
36928,6125209
39925,6020871
40933,6162173
40274,6033130
35605,6033130
4132299991,6019573
664899992,6152569
6648,6152569
39953,6019064
3819699995,6152615
37289,6025936
3344399990,6021088
3368199990,6003827
41322,6019573
7386,6001001
8144,6152630
10012313,6152401
10029807,6000325
10050462,6025949
10051344,6152505
13029702,6047928
13029710,6047663
10122043,6154829
10012341,6033053
11010488,6152575
11012025,6152462
11320110,6047928
11360202,6152511
11499014,6003760
13051337,6003759
11769361,6022730
11579010,6022453
13749956,6022453
13829739,6022453
27250381,6012755
8150126,6035501
8220128,6152588
8319648,6000495
9020363,6154088
9829010,6152517
9080217,6047928
9019089,6017247
8500368,6125210
8209022,6164487
10023312,6047663
1024042,6025945
1194949,6152619
1810580,6152688
1013520,6152399
1200460,6152661
1320740,6152600
1329325,6155192
1849646,6033130
1889228,6033130
1964014,6164640
1900852,6154420
1629342,6152445
1670705,6022479
1650005,6164641
1619272,6022471
1749255,6154343
1740864,6034924
1790667,6022490
1719129,6022490
1790044,6155192
1410450,6034924
1900000,6047669
1740037,6152535
1619158,6152535
1049148,6152535
1209082,6019582
1730901,6022404
1200235,6154029
1969017,6154083
1195547,6000854
1049439,6017334
1760668,6160195
1410423,6161820
1185291,6162300
1189052,6164487
1185210,6164487
1219005,6164487
1714063,6164487
13199110,6049542
13199111,6049542
13209061,6049542
4309191,6047669
9089001,6047928
9089217,6047928
9089501,6047928
9089502,6047928
4340108,6152523
4301504,6022407
4340694,6152523
4309506,6025945
3099150,6152606
4349519,6025945
4349571,6025945
7039090,6154436
4349650,6025945
80810025,6025945
80810026,6025945
13029610,6047663
3501394,6152626
5041272,6152586
80814240,6152539
5011955,6154039
2549340,6152590
6561372,6000280
4329010,6154047
2011839,6164487
80812010,6164487
3061388,6160193
6041014,6160194
2859481,6041250
15019059,6047928
15100118,6152592
15092186,6003670
15211332,6003670
15659008,6152560
15010421,6154424
15799259,6017839
11029071,6022453
15120155,6003671
20019389,6047669
13029316,6047663
8019501,6047928
8030309,6000827
9789785,6000827
40799561,6017744
12310016,6047972
11590272,6049542
27273110,6069183
11614326,6033130
13360675,6066922
40099003,6047665
13279001,6047987
13111680,6014150
13070431,6049544
19121076,6047984
13019267,6152401
80891002,6047973
14769400,6025945
14289289,6014152
12060704,6033130
10849482,6047663
13120769,6047927
13889142,6047970
91112330,6047970
13789180,6047971
91112350,6047971
14090628,6047988
13152440,6022413
14021144,6000978
14283439,6003915
14049117,6019182
13091003,6047974
14029022,6047989
13140204,6047669
13029257,6025945
13014792,6033130
34069003,6022429
13131866,6047976
13029259,6000978
27349045,6050858
16736841,6156156
16119040,6156156
24031895,6151804
24581923,6013527
27049126,6145384
21559005,6157359
13350579,6000978
13339821,6025945
23011144,6144988
18015523,6033130
23219200,6051316
40789846,6017744
40092104,6017744
10012331,6047663
23061060,6159089
11020056,6022453
11579999,6022453
14021078,6152645
40889702,6017744
12531871,6000214
22031535,6033130
20203254,6152545
20041108,6152591
2013402,6003905
1219130,6164487
1219140,6164487
2011839,6033130
12179049,6049542
15347813,6154105
13849943,6000978
1219140,6033130
13369041,6003706
3011336,6033130
23380321,6164930
13017537,6164635
8012657,6000492
13829573,6022453
13080310,6014284
8360429,6014283
1749316,6164672
1769133,6154008
6131160,6017335
6521063,6055638
4349400,6152615
91120410,6033130
91110500,6033130
27759518,6012755
4349518,6000280
91110300,6033130
1770971,6033130
23559029,6000842
3019141,6033130
7030068,6022409
1909222,6140419
1909293,6140419
1909296,6140419
1909297,6140419
1909439,6140419
11559007,6049542
6561237,6033130
13032600,6033130
27013213,6033130
13111626,6033130
14520634,6047988
15010931,6049800
15017887,6033130
7032579,6152581
1909294,6140419
1909295,6140419
11630915,6033130
13360410,6022397
15110108,6033130
28489013,6152569
40081337,6047665
34013200,6047664
34033023,6047664
13339922,6025945
34189071,6041641
34189229,6041641
34189370,6041641
10019037,6047663
34041610,6152559
34132123,6035525
40099046,6017744
40011319,6021017
35069513,6152457
35051313,6152598
35819919,6152598
2023324,6136667
35069649,6000970
34012587,6152451
33033022,6047664
34039018,6047664
33016936,6163111
34079018,6164644
32011323,6152604
32039078,6140421
32039504,6003731
31019089,6019774
32021179,6003697
13359099,6000978
25010952,6047669
27049101,6050858
34099023,6047664
34099024,6047664
34039929,6047664
27340838,6050858
27220868,6153381
27260488,6000594
27361256,6145384
27340201,6047974
27722262,6000938
27260832,6164668
27269080,6152426
27360343,6152651
27511634,6152658
28010065,6152652
28019020,6152652
13339206,6025945
13012297,6022453
13019297,6022453
13019006,6000779
38159003,6164487
38019189,6164487
47071084,6055838
40091620,6022458
13339011,6025945
40099048,6047669
34030022,6047664
34039006,6047664
34769732,6047664
43769560,6047664
38012691,6164487
40092574,6055581
40869682,6041620
40121326,6049515
42101110,6049517
13809052,6022453
44011653,6018940
44011789,6052605
44014894,6160914
40099068,6047665
40089579,6047669
40849937,6003758
43063270,6054579
28019002,6022497
40099107,6017744
40839080,6017744
40729900,6017744
40849715,6017744
47071163,6033130
6152528,6152528
46010018,6047666
46019815,6049516
46019823,6055087
46089009,6019404
13012306,6000185
46159003,6022391
46029500,6041338
46219080,6041338
46529012,6041338
46019008,6019064
46019048,6016114
47071070,6152528
47019133,6047663
47010024,6047923
13019290,6022453
44769743,6052605
91114730,6017744
32149013,6033130
43190031,6164681
38015884,6001087
38011928,6001087
34049930,6033130
40899725,6017744
27260855,6152426
27272587,6035524
40889426,6017744
31041066,6001151
37011659,6019040
34809220,6047664
91301110,6033130
43011917,6047664
38012118,6001087
42049043,6021730
35050007,6033130
43869937,6047664
38011926,6001087
34131855,6033130
42093056,6033130
42039015,6154374
38019691,6164487
27272588,6035524
47010025,6047923
47010026,6047923
47010027,6047923
47010028,6047923
26290003,6033130
26400101,6033130
29012800,6017744
26040405,6033130
26230097,6033130
27380064,6033130
44021180,6033130
13019298,6022453
35039271,6000898
110179,6052872
100029,6051365
100110,6022462
112935,6017899
116804,6051370
538715,6051361
709186,6018488
114059,6028797
437096,6054926
154213,6140418
202525,6000608
112861,6013525
115265,6000594
138324,6018573
337770,6018573
412290,6033130
100005,6000493
156281,6051366
153058,6051378
725498,6154026
237996,6160629
193155,6051368
419197,6051368
360480,6051375
760813,6033130
173614,6052876
182970,6051364
232170,6033130
242233,6000987
275357,6055357
411941,6000987
413273,6152490
413290,6051363
415369,6051374
733250,6041688
745525,6040365
137964,6017840
411827,6017840
233118,6121591
234129,6121591
128343,6051380
130533,6051380
213284,6000900
154461,6050858
128905,6041635
141458,6041635
390212,6041635
661300,6022434
666135,6022434
661304,6022434
661305,6022434
707122,6033130
336885,6041635
131458,6041635
131457,6041635
131455,6041635
428124,6041635
314617,6041618
162722,6140419
166237,6014714
168301,6033130
480878,6070462
125359,6052881
192825,6197378
141407,6033130
490909,6152401
490910,6152401
490911,6152401
661310,6022434
308244,6052877
390216,6041635
558833,6033130
445029,6196161
116814,6051370
717373,6033130
480877,6014714
299712,6041635
128395,6033130
390217,6041635
750581,6040365
100002,6022460
100001,6022394
152754,6033130
661301,6022434
184864,6033130
203183,6033130
901115,6052872
412604,6017840
319161,6041635
123797,6033130
433504,6033130
125360,6052881
100018,6050906
533541,6152401
198982,6041635
533542,6000185
661309,6022434
100002,6022394
262508,6033130
285777,6021017
1145861,6152523
1264847,6039269
1160931,6014888
1386400,6003889
1226099,6022453
1658663,6022453
1658664,6022453
1468426,6033053
1461026,6047670
1804151,6047670
1659490,6047670
1705349,6034926
1464473,6022452
1469558,6022452
1559985,6022452
1563787,6022452
1564021,6022452
1734784,6022452
1244064,6000944
1159946,6022435
1234863,6022435
1130334,6012901
1134176,6022430
1139305,6012901
1234864,6013963
1411548,6016108
1442371,6001143
1139251,6022435
1321104,6144139
1928823,6033130
1957325,6022452
1321057,6127230
1184290,6022410
1231369,6003747
1436579,6021019
1164041,6017289
1164127,6022396
1511853,6022394
1511862,6022394
1269871,6022394
1929205,6033130
1536719,6022394
1512140,6022394
1511730,6022394
1511793,6022394
1536723,6022460
1140331,6022460
1269872,6022460
1843878,6055373
1166446,6022464
1439088,6022463
1241515,6028793
1124973,6022465
1446575,6022401
1300614,6022465
1844718,6022402
1262411,6022483
1269169,6065843
1565394,6000842
1208584,6022408
1406175,6065843
1406177,6065843
1138710,6025937
1294888,6022477
1134768,6003794
1209307,6022452
1240852,6022452
1240895,6022452
1677805,6022452
1234282,6022409
1234372,6022409
1719211,6022409
1456566,6022394
1456581,6022394
1187931,6152678
1380989,6022441
1147091,6022433
1263494,6022433
1295455,6022433
1236467,6003682
1287901,6003684
1198852,6022421
1567511,6022490
1135203,6022404
1255547,6022468
1599346,6022495
1551023,6022495
1348476,6022471
1239744,6022455
1239740,6022455
1605575,6152437
1503296,6000417
1164122,6022397
1164145,6022395
1762798,6022395
1124997,6022462
1125580,6003818
1212740,6003818
1128176,6022472
1125238,6022461
1209686,6022424
1519932,6022426
1127201,6022425
1209677,6022425
1307542,6022478
1672472,6035510
1865493,6144702
1866655,6022397
1867050,6022397
1386452,6022393
1178514,6022415
1502203,6022459
1110500,6022480
1360011,6049800
1188132,6022417
1879988,6035501
1209796,6022419
1213556,6022418
1429222,6022418
1567297,6022418
1574999,6022485
1182442,6013508
1591922,6022496
1192301,6022496
1822972,6022487
1455049,6196160
1386537,6132314
1982571,6022496
1260980,6003889
1184004,6014888
1189628,6014888
1437643,6000892
1812730,6034926
1116461,6022453
1308248,6022453
1459165,6022453
1558940,6022453
1633610,6022453
1909395,6012755
1635427,6022453
1663635,6041250
1848455,6022453
1540925,6047670
1139195,6003889
1991474,6014888
1991475,6014888
1991476,6014888
1993108,6014888
1393944,6022429
1393987,6022429
1352634,6000892
1353694,6000892
1511680,6000892
1611818,6000892
1353695,6000892
1361113,6014888
1393940,6022429
1239245,6001059
1248764,6001059
1250788,6001059
1963048,6001059
1361562,6001059
1361058,6001059
1361112,6001059
1500249,6001059
1688189,6001059
1688190,6001059
1720691,6001059
1736002,6001059
1803364,6001059
1386465,6001059
1387742,6001059
1386396,6014888
1521248,6040565
1991882,6014888
1991885,6014888
1241316,6001059
1248172,6001059
1275605,6001059
1687980,6001059
1141534,6003708
1237722,6022487
1841495,6154427
1734249,6000614
1141472,6016386
1572369,6003872
1664111,6020450
1195304,6016968
1137222,6000606
1164336,6003790
1258408,6003790
1168666,6000839
1274287,6001069
1104900,6022405
1121122,6025938
1149299,6028792
1347274,6025939
1525386,6028792
1986073,6027641
1357192,6022483
1722250,6022401
1684709,6022476
1840454,6022476
1849330,6022476
1116918,6022405
1137605,6022405
1178656,6022405
1619922,6022405
1539001,6003889
1735173,6000892
1393988,6022429
1298240,6001059
1538718,6001059
1539374,6014888
1539959,6014888
1542342,6014888
1606049,6014888
1991146,6014888
1312788,6014888
1394131,6022429
1534764,6014888
1745631,6000892
1745632,6000892
1745638,6000892
1994566,6014888
1204272,6001059
1524866,6001059
1989901,6001059
1706555,6022496
1890383,6022496
1740248,6164635
1705760,6034926
1548863,6022453
1599192,6000779
1733824,6022453
1810472,6022453
1825785,6022453
1854360,6022453
1895234,6022453
1207937,6047670
1226268,6047670
1395514,6047670
1355950,6022452
1356139,6022452
1356146,6013258
1356148,6025946
1356154,6022452
1356161,6025946
1356162,6022452
1356179,6025946
1619259,6022452
1619581,6025946
1537470,6022394
1866454,6047669
1867059,6047669
1867064,6047669
1867771,6047669
1870159,6016968
1916991,6047669
1866522,6047669
1866554,6047669
1866293,6047669
1866687,6047669
1300853,6049801
1485481,6038512
1682029,6038512
1839590,6049801
1164934,6000876
1164756,6022423
1534491,6014888
1821392,6014888
1298845,6014888
1372171,6022429
1380956,6014888
1394108,6022429
1991957,6014888
1991958,6014888
1991959,6014888
1277839,6003889
1841184,6022491
1728995,6022401
1534274,6038122
1927481,6022476
1927482,6022476
1538717,6001059
1548934,6001059
1842722,6022444
1372107,6022409
1652646,6022409
1740091,6022409
1376131,6022433
1636242,6163102
1386510,6154354
1177264,6000417
1123050,6033130
1124006,6033130
1124012,6033130
1146945,6033130
1147015,6033130
1148386,6033130
1266430,6033130
1512732,6033130
1609122,6033130
1255015,6022452
1221860,6022452
1221899,6022452
1111745,6022452
1288027,6001059
1255509,6001059
1278471,6001059
1745640,6001059
1291653,6001059
1397120,6001059
1517578,6001059
1690055,6001059
1289926,6022452
1290056,6022452
1270557,6022455
1290577,6022452
1290604,6022452
1123428,6033130
1298241,6001059
1841264,6121599
1735175,6001059
1222486,6033130
1549054,6000839
412796,6163102
444508,6152527
444599,6035552
750648,6152413
007040,6152664
760653,6035552
771885,6163102
233749,6144140
293139,6056390
752082,6152485
761636,6000894
6   2  5,6152418
752144,6001056
752226,6013251
755448,6152413
764687,6163102
767149,6152527
771890,6163102
751756,6152418
760102,6144140
752804,6152664
００７０４０,6152664
760102,6152664
763306,6152664
752138,6164652
